Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-12-02 15:26:44.754096,127.0.0.13,2,2,0,2
2021-12-02 15:27:14.868074,127.0.0.13,2,2,0,2
2021-12-02 15:27:44.918229,127.0.0.13,2,2,0,2
2021-12-02 15:28:15.049371,127.0.0.13,2,2,0,2
2021-12-02 15:28:45.115322,127.0.0.13,2,2,0,2
2021-12-02 15:29:15.191372,127.0.0.13,2,2,0,2
2021-12-02 15:29:45.335220,127.0.0.13,2,2,0,2
2021-12-02 15:30:15.428863,127.0.0.13,2,2,0,2
2021-12-02 15:30:45.547060,127.0.0.13,2,2,0,2
2021-12-02 15:31:15.607919,127.0.0.13,2,2,0,2
2021-12-02 15:31:45.672463,127.0.0.13,2,2,0,2
2021-12-02 15:32:15.765759,127.0.0.13,2,2,0,2
2021-12-02 15:32:45.882803,127.0.0.13,2,2,0,2
2021-12-02 15:33:15.982248,127.0.0.13,2,2,0,2
2021-12-02 15:33:46.076051,127.0.0.13,2,2,0,2
2021-12-02 15:34:16.178726,127.0.0.13,2,2,0,2
2021-12-02 15:34:46.284383,127.0.0.13,2,2,0,2
2021-12-02 15:35:16.336049,127.0.0.13,2,2,0,2
2021-12-02 15:35:46.378917,127.0.0.13,2,2,0,2
2021-12-02 15:36:16.446607,127.0.0.13,2,2,0,2
2021-12-02 15:36:46.517153,127.0.0.13,2,2,0,2
2021-12-02 15:37:16.630400,127.0.0.13,2,2,0,2
2021-12-02 15:37:46.709198,127.0.0.13,2,2,0,2
2021-12-02 15:38:16.777377,127.0.0.13,2,2,0,2
2021-12-02 15:38:46.815226,127.0.0.13,2,2,0,2
2021-12-02 15:39:16.851101,127.0.0.13,2,2,0,2
2021-12-02 15:39:46.883918,127.0.0.13,2,2,0,2
2021-12-02 15:40:16.904950,127.0.0.13,2,2,0,2
2021-12-02 15:40:46.928083,127.0.0.13,2,2,0,2
2021-12-02 15:41:16.952933,127.0.0.13,2,2,0,2
2021-12-02 15:42:06.243064,127.0.0.13,2,2,0,2
2021-12-02 15:42:36.350704,127.0.0.13,2,2,0,2
2021-12-02 15:43:06.406945,127.0.0.13,2,2,0,2
2021-12-02 15:43:36.455023,127.0.0.13,2,2,0,2
2021-12-02 15:44:06.528185,127.0.0.13,2,2,0,2
2021-12-02 15:44:36.594125,127.0.0.13,2,2,0,2
2021-12-02 15:45:06.636259,127.0.0.13,2,2,0,2
2021-12-02 15:45:36.750006,127.0.0.13,2,2,0,2
2021-12-02 15:46:06.833577,127.0.0.13,2,2,0,2
2021-12-02 15:46:36.902197,127.0.0.13,2,2,0,2
2021-12-02 15:47:06.943185,127.0.0.13,2,2,0,2
2021-12-02 15:50:15.566399,127.0.0.13,2,2,0,2
2021-12-02 15:51:39.549783,127.0.0.13,2,2,0,2
2021-12-02 15:52:09.658494,127.0.0.13,2,2,0,2
2021-12-02 15:52:39.782641,127.0.0.13,2,2,0,2
2021-12-02 15:53:09.908742,127.0.0.13,2,2,0,2
2021-12-02 15:53:40.004014,127.0.0.13,2,2,0,2
2021-12-02 15:54:10.081900,127.0.0.13,2,2,0,2
2021-12-02 15:54:40.181981,127.0.0.13,2,2,0,2
2021-12-02 15:55:10.334869,127.0.0.13,2,2,0,2
2021-12-02 15:55:40.402080,127.0.0.13,2,2,0,2
2021-12-02 15:56:10.508648,127.0.0.13,2,2,0,2
2021-12-02 15:56:40.586611,127.0.0.13,2,2,0,2
2021-12-02 15:57:10.747238,127.0.0.13,2,2,0,2
2021-12-02 15:57:40.785013,127.0.0.13,2,2,0,2
2021-12-02 16:02:08.465170,127.0.0.13,2,2,0,2
2021-12-02 16:02:38.603053,127.0.0.13,2,2,0,2
2021-12-02 16:03:08.899251,127.0.0.13,2,2,0,2
2021-12-02 16:03:38.954709,127.0.0.13,2,2,0,2
2021-12-02 16:04:51.553850,127.0.0.13,2,2,0,2
2021-12-02 16:05:21.710228,127.0.0.13,2,2,0,2
2021-12-02 16:05:51.749119,127.0.0.13,2,2,0,2
2021-12-02 16:06:21.811080,127.0.0.13,2,2,0,2
2021-12-02 16:06:51.864522,127.0.0.13,2,2,0,2
2021-12-02 16:07:21.921707,127.0.0.13,2,2,0,2
2021-12-02 16:07:51.941062,127.0.0.13,2,2,0,2
2021-12-02 16:08:21.960537,127.0.0.13,2,2,0,2
2021-12-02 16:08:51.999795,127.0.0.13,2,2,0,2
2021-12-02 16:09:22.019799,127.0.0.13,2,2,0,2
2021-12-02 16:09:52.065517,127.0.0.13,2,2,0,2
2021-12-02 16:10:22.100723,127.0.0.13,2,2,0,2
2021-12-02 16:10:52.136544,127.0.0.13,2,2,0,2
2021-12-02 16:11:22.182391,127.0.0.13,2,2,0,2
2021-12-02 16:11:52.213055,127.0.0.13,2,2,0,2
2021-12-02 16:12:22.239165,127.0.0.13,2,2,0,2
2021-12-02 16:12:52.254748,127.0.0.13,2,2,0,2
2021-12-02 16:13:22.273702,127.0.0.13,2,2,0,2
2021-12-02 16:13:52.314565,127.0.0.13,2,2,0,2
2021-12-02 16:14:22.348289,127.0.0.13,2,2,0,2
2021-12-02 16:14:52.388491,127.0.0.13,2,2,0,2
2021-12-02 16:15:22.422156,127.0.0.13,2,2,0,2
